t, c	M(t), рад	E(t), рад	Theta(t), рад	
163	0.0237074	0.0689609	0.151284
164	0.0238528	0.0693903	0.152223
165	0.0239983	0.0698164	0.153155
166	0.0241437	0.0702371	0.154075
167	0.0242892	0.0706437	0.154964
168	0.0244346	0.0710698	0.155896
169	0.0245801	0.0714992	0.156835
170	0.0247255	0.0719253	0.157767
171	0.0248709	0.072346	0.158686
172	0.0250164	0.0727527	0.159575
173	0.0251618	0.0731788	0.160507
174	0.0253073	0.0735995	0.161426
175	0.0254527	0.0740343	0.162377
176	0.0255982	0.0744409	0.163265
177	0.0257436	0.074867	0.164197
178	0.0258891	0.0752878	0.165116
179	0.0260345	0.0757225	0.166066
180	0.0261799	0.0761433	0.166985
181	0.0263254	0.0765499	0.167874
182	0.0264708	0.076976	0.168805
183	0.0266163	0.0773967	0.169724
184	0.0267617	0.0778315	0.170674
185	0.0269072	0.0782522	0.171593
186	0.0270526	0.0786589	0.172481
187	0.027198	0.079085	0.173412
188	0.0273435	0.0795198	0.174361
189	0.0274889	0.0799405	0.17528
190	0.0276344	0.0803471	0.176168
191	0.0277798	0.0807732	0.177098
192	0.0279253	0.0811939	0.178017
193	0.0280707	0.0816006	0.178905
194	0.0282162	0.0820267	0.179835
195	0.0283616	0.0824474	0.180753
196	0.028507	0.0828822	0.181702
197	0.0286525	0.0833029	0.182621
198	0.0287979	0.0837096	0.183508
199	0.0289434	0.0841357	0.184438
200	0.0290888	0.0845564	0.185356
201	0.0292343	0.0849912	0.186305
202	0.0293797	0.0853978	0.187192
203	0.0295252	0.0858185	0.18811
204	0.0296706	0.0862446	0.18904
205	0.029816	0.0866513	0.189927
206	0.0299615	0.0870774	0.190856
207	0.0301069	0.0874981	0.191774
208	0.0302524	0.0879329	0.192722
209	0.0303978	0.0883536	0.19364
210	0.0305433	0.0887602	0.194527
211	0.0306887	0.0891863	0.195456
212	0.0308342	0.089607	0.196373
213	0.0309796	0.0900418	0.197321
214	0.031125	0.0904626	0.198238
215	0.0312705	0.0908692	0.199125
216	0.0314159	0.0912953	0.200054
217	0.0315614	0.091716	0.200971
218	0.0317068	0.0921227	0.201857
219	0.0318523	0.0925488	0.202785
220	0.0319977	0.0929835	0.203733
221	0.0321431	0.0934043	0.20465
222	0.0322886	0.0938109	0.205536
223	0.032434	0.094237	0.206464
224	0.0325795	0.0946577	0.207381
225	0.0327249	0.0950644	0.208266
226	0.0328704	0.0954905	0.209195
227	0.0330158	0.0959112	0.210111
228	0.0331613	0.096346	0.211058
229	0.0333067	0.0967667	0.211974
230	0.0334521	0.0971733	0.212859
231	0.0335976	0.0975994	0.213787
232	0.033743	0.0980202	0.214703
233	0.0338885	0.0984268	0.215588
234	0.0340339	0.0988529	0.216516
235	0.0341794	0.0992595	0.217401
236	0.0343248	0.0996803	0.218317
237	0.0344703	0.100106	0.219244
238	0.0346157	0.100541	0.22019
239	0.0347611	0.100962	0.221106
240	0.0349066	0.101369	0.221991
241	0.035052	0.101795	0.222918
242	0.0351975	0.102215	0.223833
243	0.0353429	0.102622	0.224717
244	0.0354884	0.103048	0.225644
245	0.0356338	0.103469	0.226559
246	0.0357792	0.103875	0.227444
247	0.0359247	0.104302	0.22837
248	0.0360701	0.104722	0.229285
249	0.0362156	0.105157	0.23023
250	0.036361	0.105578	0.231145
251	0.0365065	0.105984	0.232029
252	0.0366519	0.10641	0.232955
253	0.0367974	0.106817	0.233839
254	0.0369428	0.107238	0.234753
255	0.0370882	0.107664	0.235679
256	0.0372337	0.108071	0.236563
257	0.0373791	0.108497	0.237489
258	0.0375246	0.108917	0.238403
259	0.03767	0.109352	0.239347
260	0.0378155	0.10975	0.240212
261	0.0379609	0.110171	0.241125
262	0.0381064	0.110606	0.24207
263	0.0382518	0.111026	0.242983
264	0.0383972	0.111433	0.243866
265	0.0385427	0.111859	0.244791
266	0.0386881	0.11228	0.245705
267	0.0388336	0.112686	0.246588
268	0.038979	0.113113	0.247513
269	0.0391245	0.113533	0.248426
270	0.0392699	0.11394	0.249308
271	0.0394154	0.114366	0.250233
272	0.0395608	0.114773	0.251115
273	0.0397062	0.115193	0.252028
274	0.0398517	0.115619	0.252952
275	0.0399971	0.116026	0.253835
276	0.0401426	0.116452	0.254759
277	0.040288	0.116873	0.255671
278	0.0404335	0.11728	0.256553
279	0.0405789	0.117706	0.257477
280	0.0407243	0.118126	0.258389
281	0.0408698	0.118561	0.259332
282	0.0410152	0.118959	0.260195
283	0.0411607	0.11938	0.261107
284	0.0413061	0.119815	0.262049
285	0.0414516	0.120213	0.262912
286	0.041597	0.120633	0.263823
287	0.0417425	0.121068	0.264765
288	0.0418879	0.121466	0.265628
289	0.0420333	0.121887	0.266539
290	0.0421788	0.122322	0.267481
291	0.0423242	0.12272	0.268343
292	0.0424697	0.12314	0.269254
293	0.0426151	0.123575	0.270196
294	0.0427606	0.123973	0.271057
295	0.042906	0.124408	0.271999
296	0.0430515	0.124829	0.27291
297	0.0431969	0.125226	0.273771
298	0.0433423	0.125661	0.274712
299	0.0434878	0.126059	0.275574
300	0.0436332	0.12648	0.276484
301	0.0437787	0.126915	0.277425
302	0.0439241	0.127313	0.278286
303	0.0440696	0.127733	0.279196
304	0.044215	0.128168	0.280137
305	0.0443605	0.128566	0.280997
306	0.0445059	0.128987	0.281907
307	0.0446513	0.129393	0.282787
308	0.0447968	0.12982	0.283708
309	0.0449422	0.13024	0.284618
310	0.0450877	0.130647	0.285497
311	0.0452331	0.131073	0.286418
312	0.0453786	0.131494	0.287327
313	0.045524	0.1319	0.288206
314	0.0456694	0.132326	0.289127
315	0.0458149	0.132747	0.290036
316	0.0459603	0.133154	0.290915
317	0.0461058	0.13358	0.291835
