t, c	M(t), рад	E(t), рад	Theta(t), рад	
163	0.0237074	0.0689693	0.151303
164	0.0238528	0.0693912	0.152225
165	0.0239983	0.069813	0.153148
166	0.0241437	0.0702348	0.15407
167	0.0242892	0.0706565	0.154992
168	0.0244346	0.0710783	0.155915
169	0.0245801	0.0715	0.156837
170	0.0247255	0.0719217	0.157759
171	0.0248709	0.0723433	0.15868
172	0.0250164	0.072765	0.159602
173	0.0251618	0.0731866	0.160524
174	0.0253073	0.0736082	0.161445
175	0.0254527	0.0740298	0.162367
176	0.0255982	0.0744513	0.163288
177	0.0257436	0.0748728	0.164209
178	0.0258891	0.0752943	0.16513
179	0.0260345	0.0757158	0.166051
180	0.0261799	0.0761372	0.166972
181	0.0263254	0.0765587	0.167893
182	0.0264708	0.0769801	0.168814
183	0.0266163	0.0774014	0.169734
184	0.0267617	0.0778228	0.170655
185	0.0269072	0.0782441	0.171575
186	0.0270526	0.0786654	0.172495
187	0.027198	0.0790866	0.173415
188	0.0273435	0.0795078	0.174335
189	0.0274889	0.0799291	0.175255
190	0.0276344	0.0803502	0.176175
191	0.0277798	0.0807714	0.177094
192	0.0279253	0.0811925	0.178014
193	0.0280707	0.0816136	0.178933
194	0.0282162	0.0820347	0.179852
195	0.0283616	0.0824557	0.180772
196	0.028507	0.0828767	0.181691
197	0.0286525	0.0832977	0.182609
198	0.0287979	0.0837187	0.183528
199	0.0289434	0.0841396	0.184447
200	0.0290888	0.0845605	0.185365
201	0.0292343	0.0849814	0.186284
202	0.0293797	0.0854022	0.187202
203	0.0295252	0.0858231	0.18812
204	0.0296706	0.0862438	0.189038
205	0.029816	0.0866646	0.189956
206	0.0299615	0.0870853	0.190874
207	0.0301069	0.087506	0.191791
208	0.0302524	0.0879267	0.192709
209	0.0303978	0.0883473	0.193626
210	0.0305433	0.088768	0.194544
211	0.0306887	0.0891885	0.195461
212	0.0308342	0.0896091	0.196378
213	0.0309796	0.0900296	0.197294
214	0.031125	0.0904501	0.198211
215	0.0312705	0.0908706	0.199128
216	0.0314159	0.091291	0.200044
217	0.0315614	0.0917114	0.200961
218	0.0317068	0.0921318	0.201877
219	0.0318523	0.0925521	0.202793
220	0.0319977	0.0929724	0.203709
221	0.0321431	0.0933927	0.204625
222	0.0322886	0.0938129	0.20554
223	0.032434	0.0942332	0.206456
224	0.0325795	0.0946533	0.207371
225	0.0327249	0.0950735	0.208286
226	0.0328704	0.0954936	0.209201
227	0.0330158	0.0959137	0.210116
228	0.0331613	0.0963338	0.211031
229	0.0333067	0.0967538	0.211946
230	0.0334521	0.0971738	0.21286
231	0.0335976	0.0975937	0.213775
232	0.033743	0.0980137	0.214689
233	0.0338885	0.0984336	0.215603
234	0.0340339	0.0988534	0.216517
235	0.0341794	0.0992732	0.217431
236	0.0343248	0.099693	0.218345
237	0.0344703	0.100113	0.219258
238	0.0346157	0.100533	0.220172
239	0.0347611	0.100952	0.221085
240	0.0349066	0.101372	0.221998
241	0.035052	0.101792	0.222911
242	0.0351975	0.102211	0.223824
243	0.0353429	0.102631	0.224736
244	0.0354884	0.10305	0.225649
245	0.0356338	0.10347	0.226561
246	0.0357792	0.103889	0.227473
247	0.0359247	0.104309	0.228385
248	0.0360701	0.104728	0.229297
249	0.0362156	0.105147	0.230209
250	0.036361	0.105567	0.231121
251	0.0365065	0.105986	0.232032
252	0.0366519	0.106405	0.232943
253	0.0367974	0.106824	0.233855
254	0.0369428	0.107244	0.234766
255	0.0370882	0.107663	0.235676
256	0.0372337	0.108082	0.236587
257	0.0373791	0.108501	0.237498
258	0.0375246	0.10892	0.238408
259	0.03767	0.109339	0.239318
260	0.0378155	0.109758	0.240228
261	0.0379609	0.110177	0.241138
262	0.0381064	0.110596	0.242048
263	0.0382518	0.111014	0.242958
264	0.0383972	0.111433	0.243867
265	0.0385427	0.111852	0.244776
266	0.0386881	0.112271	0.245685
267	0.0388336	0.11269	0.246594
268	0.038979	0.113108	0.247503
269	0.0391245	0.113527	0.248412
270	0.0392699	0.113945	0.24932
271	0.0394154	0.114364	0.250228
272	0.0395608	0.114782	0.251136
273	0.0397062	0.115201	0.252044
274	0.0398517	0.115619	0.252952
275	0.0399971	0.116038	0.25386
276	0.0401426	0.116456	0.254767
277	0.040288	0.116874	0.255675
278	0.0404335	0.117293	0.256582
279	0.0405789	0.117711	0.257489
280	0.0407243	0.118129	0.258395
281	0.0408698	0.118547	0.259302
282	0.0410152	0.118966	0.260209
283	0.0411607	0.119384	0.261115
284	0.0413061	0.119802	0.262021
285	0.0414516	0.12022	0.262927
286	0.041597	0.120638	0.263833
287	0.0417425	0.121056	0.264738
288	0.0418879	0.121473	0.265644
289	0.0420333	0.121891	0.266549
290	0.0421788	0.122309	0.267454
291	0.0423242	0.122727	0.268359
292	0.0424697	0.123145	0.269264
293	0.0426151	0.123562	0.270168
294	0.0427606	0.12398	0.271073
295	0.042906	0.124398	0.271977
296	0.0430515	0.124815	0.272881
297	0.0431969	0.125233	0.273785
298	0.0433423	0.12565	0.274688
299	0.0434878	0.126068	0.275592
300	0.0436332	0.126485	0.276495
301	0.0437787	0.126902	0.277398
302	0.0439241	0.12732	0.278301
303	0.0440696	0.127737	0.279204
304	0.044215	0.128154	0.280107
305	0.0443605	0.128571	0.281009
306	0.0445059	0.128989	0.281911
307	0.0446513	0.129406	0.282813
308	0.0447968	0.129823	0.283715
309	0.0449422	0.13024	0.284617
310	0.0450877	0.130657	0.285518
311	0.0452331	0.131074	0.28642
312	0.0453786	0.131491	0.287321
313	0.045524	0.131908	0.288222
314	0.0456694	0.132324	0.289123
315	0.0458149	0.132741	0.290023
316	0.0459603	0.133158	0.290924
317	0.0461058	0.133575	0.291824
318	0.0462512	0.133991	0.292724
319	0.0463967	0.134408	0.293624
320	0.0465421	0.134824	0.294523
321	0.0466876	0.135241	0.295423
322	0.046833	0.135657	0.296322
323	0.0469784	0.136074	0.297221
324	0.0471239	0.13649	0.29812
325	0.0472693	0.136906	0.299019
326	0.0474148	0.137323	0.299917
327	0.0475602	0.137739	0.300815
328	0.0477057	0.138155	0.301713
329	0.0478511	0.138571	0.302611
330	0.0479966	0.138987	0.303509
331	0.048142	0.139404	0.304407
332	0.0482874	0.13982	0.305304
333	0.0484329	0.140236	0.306201
334	0.0485783	0.140651	0.307098
335	0.0487238	0.141067	0.307995
336	0.0488692	0.141483	0.308891
337	0.0490147	0.141899	0.309788
338	0.0491601	0.142315	0.310684
339	0.0493056	0.14273	0.31158
340	0.049451	0.143146	0.312475
341	0.0495964	0.143562	0.313371
342	0.0497419	0.143977	0.314266
343	0.0498873	0.144393	0.315161
344	0.0500328	0.144808	0.316056
345	0.0501782	0.145224	0.316951
346	0.0503237	0.145639	0.317846
347	0.0504691	0.146054	0.31874
348	0.0506145	0.14647	0.319634
349	0.05076	0.146885	0.320528
350	0.0509054	0.1473	0.321422
351	0.0510509	0.147715	0.322315
352	0.0511963	0.14813	0.323209
353	0.0513418	0.148545	0.324102
354	0.0514872	0.14896	0.324995
355	0.0516327	0.149375	0.325887
356	0.0517781	0.14979	0.32678
357	0.0519235	0.150205	0.327672
358	0.052069	0.15062	0.328564
359	0.0522144	0.151035	0.329456
360	0.0523599	0.151449	0.330348
361	0.0525053	0.151864	0.331239
362	0.0526508	0.152279	0.332131
363	0.0527962	0.152693	0.333022
364	0.0529417	0.153108	0.333913
365	0.0530871	0.153522	0.334803
366	0.0532325	0.153937	0.335694
367	0.053378	0.154351	0.336584
368	0.0535234	0.154765	0.337474
369	0.0536689	0.155179	0.338364
370	0.0538143	0.155594	0.339253
371	0.0539598	0.156008	0.340142
372	0.0541052	0.156422	0.341032
373	0.0542507	0.156836	0.34192
374	0.0543961	0.15725	0.342809
375	0.0545415	0.157664	0.343698
376	0.054687	0.158078	0.344586
377	0.0548324	0.158492	0.345474
378	0.0549779	0.158906	0.346362
379	0.0551233	0.159319	0.347249
380	0.0552688	0.159733	0.348137
381	0.0554142	0.160147	0.349024
382	0.0555596	0.16056	0.349911
383	0.0557051	0.160974	0.350798
384	0.0558505	0.161387	0.351684
385	0.055996	0.161801	0.352571
386	0.0561414	0.162214	0.353457
387	0.0562869	0.162628	0.354343
388	0.0564323	0.163041	0.355228
389	0.0565778	0.163454	0.356114
390	0.0567232	0.163867	0.356999
391	0.0568686	0.164281	0.357884
392	0.0570141	0.164694	0.358769
393	0.0571595	0.165107	0.359653
394	0.057305	0.16552	0.360537
395	0.0574504	0.165933	0.361422
396	0.0575959	0.166346	0.362305
397	0.0577413	0.166758	0.363189
398	0.0578868	0.167171	0.364072
399	0.0580322	0.167584	0.364956
400	0.0581776	0.167997	0.365839
401	0.0583231	0.168409	0.366721
402	0.0584685	0.168822	0.367604
403	0.058614	0.169234	0.368486
404	0.0587594	0.169647	0.369368
405	0.0589049	0.170059	0.37025
406	0.0590503	0.170471	0.371132
407	0.0591958	0.170884	0.372013
408	0.0593412	0.171296	0.372894
409	0.0594866	0.171708	0.373775
410	0.0596321	0.17212	0.374656
411	0.0597775	0.172532	0.375536
412	0.059923	0.172944	0.376416
413	0.0600684	0.173356	0.377296
414	0.0602139	0.173768	0.378176
415	0.0603593	0.17418	0.379055
416	0.0605047	0.174592	0.379935
417	0.0606502	0.175004	0.380814
418	0.0607956	0.175416	0.381693
419	0.0609411	0.175827	0.382571
420	0.0610865	0.176239	0.383449
421	0.061232	0.17665	0.384328
422	0.0613774	0.177062	0.385205
423	0.0615229	0.177473	0.386083
424	0.0616683	0.177885	0.38696
425	0.0618137	0.178296	0.387838
426	0.0619592	0.178707	0.388715
427	0.0621046	0.179118	0.389591
428	0.0622501	0.17953	0.390468
429	0.0623955	0.179941	0.391344
430	0.062541	0.180352	0.39222
431	0.0626864	0.180763	0.393096
432	0.0628319	0.181174	0.393971
433	0.0629773	0.181584	0.394846
434	0.0631227	0.181995	0.395721
435	0.0632682	0.182406	0.396596
436	0.0634136	0.182817	0.397471
437	0.0635591	0.183227	0.398345
438	0.0637045	0.183638	0.399219
439	0.06385	0.184048	0.400093
440	0.0639954	0.184459	0.400966
441	0.0641409	0.184869	0.401839
442	0.0642863	0.18528	0.402713
443	0.0644317	0.18569	0.403585
444	0.0645772	0.1861	0.404458
445	0.0647226	0.18651	0.40533
446	0.0648681	0.186921	0.406202
447	0.0650135	0.187331	0.407074
448	0.065159	0.187741	0.407946
449	0.0653044	0.188151	0.408817
450	0.0654498	0.18856	0.409688
451	0.0655953	0.18897	0.410559
452	0.0657407	0.18938	0.41143
453	0.0658862	0.18979	0.4123
454	0.0660316	0.190199	0.41317
455	0.0661771	0.190609	0.41404
456	0.0663225	0.191019	0.41491
457	0.066468	0.191428	0.415779
458	0.0666134	0.191838	0.416648
459	0.0667588	0.192247	0.417517
460	0.0669043	0.192656	0.418385
461	0.0670497	0.193065	0.419254
462	0.0671952	0.193475	0.420122
463	0.0673406	0.193884	0.42099
464	0.0674861	0.194293	0.421857
465	0.0676315	0.194702	0.422725
466	0.067777	0.195111	0.423592
467	0.0679224	0.19552	0.424459
468	0.0680678	0.195929	0.425325
469	0.0682133	0.196337	0.426191
470	0.0683587	0.196746	0.427057
471	0.0685042	0.197155	0.427923
472	0.0686496	0.197563	0.428789
473	0.0687951	0.197972	0.429654
474	0.0689405	0.19838	0.430519
475	0.0690859	0.198789	0.431384
476	0.0692314	0.199197	0.432248
477	0.0693768	0.199605	0.433113
478	0.0695223	0.200013	0.433977
479	0.0696677	0.200422	0.434841
480	0.0698132	0.20083	0.435704
481	0.0699586	0.201238	0.436567
482	0.0701041	0.201646	0.43743
483	0.0702495	0.202054	0.438293
484	0.0703949	0.202462	0.439155
485	0.0705404	0.202869	0.440018
486	0.0706858	0.203277	0.44088
487	0.0708313	0.203685	0.441741
488	0.0709767	0.204092	0.442603
489	0.0711222	0.2045	0.443464
490	0.0712676	0.204907	0.444325
491	0.0714131	0.205315	0.445185
492	0.0715585	0.205722	0.446046
493	0.0717039	0.206129	0.446906
494	0.0718494	0.206537	0.447766
495	0.0719948	0.206944	0.448625
496	0.0721403	0.207351	0.449484
497	0.0722857	0.207758	0.450344
498	0.0724312	0.208165	0.451202
499	0.0725766	0.208572	0.452061
500	0.0727221	0.208979	0.452919
501	0.0728675	0.209386	0.453777
502	0.0730129	0.209792	0.454635
503	0.0731584	0.210199	0.455492
504	0.0733038	0.210606	0.456349
505	0.0734493	0.211012	0.457206
506	0.0735947	0.211419	0.458063
507	0.0737402	0.211825	0.458919
508	0.0738856	0.212231	0.459775
509	0.074031	0.212638	0.460631
510	0.0741765	0.213044	0.461487
511	0.0743219	0.21345	0.462342
512	0.0744674	0.213856	0.463197
513	0.0746128	0.214262	0.464052
514	0.0747583	0.214668	0.464906
515	0.0749037	0.215074	0.465761
516	0.0750492	0.21548	0.466615
517	0.0751946	0.215886	0.467468
518	0.07534	0.216291	0.468322
519	0.0754855	0.216697	0.469175
520	0.0756309	0.217103	0.470028
521	0.0757764	0.217508	0.47088
